Gen,aveSeqRuleSize,aveRouRuleSize,avePairSize
0,17,19,18
1,18,17,17
2,16,18,17
3,16,18,17
4,17,20,18
5,17,21,19
6,18,22,20
7,19,22,20
8,18,22,20
9,16,22,19
10,15,22,18
11,17,21,19
12,15,21,18
13,15,21,18
14,16,21,18
15,15,19,17
16,18,19,18
17,20,21,20
18,22,20,21
19,21,19,20
20,18,18,18
21,21,19,20
22,20,18,19
23,20,19,19
24,19,19,19
25,21,20,20
26,22,20,21
27,25,21,23
28,26,18,22
29,25,19,22
30,27,18,22
31,27,17,22
32,27,16,21
33,27,15,21
34,29,14,21
35,28,13,20
36,34,10,22
37,34,9,21
38,40,9,24
39,42,10,26
40,39,13,26
41,41,13,27
42,44,11,27
43,45,10,27
44,44,11,27
45,44,12,28
46,48,12,30
47,45,12,28
48,46,12,29
49,44,11,27
50,42,12,27
51,40,11,25
52,38,11,24
53,43,11,27
54,45,10,27
55,47,10,28
56,45,11,28
57,45,12,28
58,43,11,27
59,45,12,28
60,46,11,28
61,48,12,30
62,51,12,31
63,49,12,30
64,50,11,30
65,55,11,33
66,57,11,34
67,49,11,30
68,49,11,30
69,50,11,30
70,51,12,31
71,48,12,30
72,47,12,29
73,40,11,25
74,43,10,26
75,43,10,26
76,45,11,28
77,45,11,28
78,48,11,29
79,50,11,30
80,53,11,32
81,55,11,33
82,55,12,33
83,53,11,32
84,52,12,32
85,55,11,33
86,60,11,35
87,58,11,34
88,59,10,34
89,60,10,35
90,61,9,35
91,58,10,34
92,59,9,34
93,57,7,32
94,56,8,32
95,53,7,30
96,53,7,30
97,53,7,30
98,55,8,31
99,61,8,34
