Gen,Time
0,24.0
1,30.0
2,30.0
3,33.0
4,38.0
5,43.0
6,42.0
7,61.0
8,71.0
9,64.0
10,67.0
11,67.0
12,72.0
13,65.0
14,61.0
15,58.0
16,61.0
17,59.0
18,57.0
19,66.0
20,54.0
21,63.0
22,54.0
23,65.0
24,66.0
25,71.0
26,56.0
27,67.0
28,68.0
29,49.0
30,51.0
31,53.0
32,50.0
33,53.0
34,56.0
35,61.0
36,57.0
37,57.0
38,63.0
39,64.0
40,56.0
41,59.0
42,62.0
43,58.0
44,60.0
45,53.0
46,55.0
47,60.0
48,58.0
49,57.0
50,59.0
51,57.0
52,55.0
53,56.0
54,55.0
55,57.0
56,57.0
57,59.0
58,60.0
59,58.0
60,60.0
61,58.0
62,59.0
63,61.0
64,57.0
65,60.0
66,58.0
67,62.0
68,58.0
69,59.0
70,60.0
71,61.0
72,60.0
73,63.0
74,60.0
75,62.0
76,63.0
77,63.0
78,63.0
79,63.0
80,55.0
81,53.0
82,53.0
83,55.0
84,55.0
85,58.0
86,59.0
87,56.0
88,54.0
89,56.0
90,56.0
91,52.0
92,54.0
93,54.0
94,54.0
95,58.0
96,53.0
97,50.0
98,55.0
99,57.0
