Gen,Time
0,33.0
1,36.0
2,41.0
3,44.0
4,41.0
5,41.0
6,48.0
7,43.0
8,44.0
9,38.0
10,44.0
11,43.0
12,46.0
13,42.0
14,42.0
15,36.0
16,45.0
17,47.0
18,44.0
19,38.0
20,40.0
21,37.0
22,42.0
23,37.0
24,44.0
25,47.0
26,45.0
27,46.0
28,53.0
29,46.0
30,49.0
31,35.0
32,48.0
33,49.0
34,42.0
35,45.0
36,42.0
37,49.0
38,47.0
39,54.0
40,51.0
41,55.0
42,52.0
43,54.0
44,51.0
45,51.0
46,51.0
47,53.0
48,46.0
49,54.0
50,52.0
51,48.0
52,55.0
53,61.0
54,54.0
55,55.0
56,54.0
57,44.0
58,52.0
59,56.0
60,55.0
61,45.0
62,59.0
63,53.0
64,58.0
65,59.0
66,62.0
67,59.0
68,54.0
69,52.0
70,58.0
71,56.0
72,58.0
73,47.0
74,56.0
75,56.0
76,54.0
77,54.0
78,55.0
79,58.0
80,43.0
81,55.0
82,61.0
83,54.0
84,58.0
85,57.0
86,62.0
87,66.0
88,58.0
89,66.0
90,70.0
91,69.0
92,62.0
93,60.0
94,63.0
95,52.0
96,63.0
97,65.0
98,62.0
99,65.0
